,Retail_Product_Level1Name,Retail_Product_Color,Retail_Product_Size,Retail_Product_Style,Retail_Product_Name,Retail_Product_SKU,Retail_SOHQTY,Retail_CCQTY,_merge,Diff,Unders
25,VESTUARIO,JEANS,36,BERMUDA JOVEM,BERMUDA JEANS EVT PAIS  INK LISO 02MA006,9571220001,1,0,left_only,-1,1
26,ELETRO-ELETRONICOS,OTHER,OTHER,OUTROS,NOKIA C30 BRANCO 64GB NK043,9639750000,3,3,both,0,0
27,VESTUARIO,ROSA,M,SHORT DOLL,SHORT DOLL MANGA CURTA JV CN PRD MICKEY,9353140003,3,4,both,1,0
28,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS CRN MSA INK RECORTES  LISO C,9588600006,1,0,left_only,-1,1
29,BELEZA,OTHER,OTHER,SPRAY/ COLÔNIA,DESODORANTE COLONIA SPLASH JEQUITI EU DE,9655180000,3,3,both,0,0
30,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA CM MSA INK SLIM LAVAGEM COM USED B,9440900003,1,0,left_only,-1,1
31,VESTUARIO,PRETO,34/39,MEIA CASUAL/ESPORTIVA,3 PARES MEIA INVISIVEL ACC SLO PRETAS LI,9429890001,4,1,both,-3,3
32,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CRN MSA INK SKY USED TANK BA,9479800002,1,0,left_only,-1,1
33,ELETRO-ELETRONICOS,OTHER,OTHER,KIT FEMININO DOURADO,RELOGIO LINCE FEMININO DOURADO P4 C PULS,9216280000,1,1,both,0,0
34,BELEZA,OTHER,OTHER,BARRA,JEQUITI SENSI SABONETE HIDRATANTE EM BAR,8687780000,3,3,both,0,0
35,VESTUARIO,VERDE,42,CALÇA SARJA,CALCA SARJA CRN MSA INK PUSH UP BOLSO SE,9415770003,4,0,left_only,-4,4
36,VESTUARIO,CINZA,UNICO,ÓCULOS METAL,OCULOS MET FEM GUN GATINHO FUME DEGRADE,9463910001,1,0,left_only,-1,1
37,VESTUARIO,PRETO,M,CALCINHA / BOTTOM,CALCINHA  BIQUINI CJ MSA ELLA BICOLOR LI,9424790002,3,3,both,0,0
38,BELEZA,OTHER,OTHER,CONDICIONADOR,SIAGE CONDICIONADOR RECONSTROI OS FIOS 2,9170520000,1,1,both,0,0
39,VESTUARIO,JEANS,46,BOTTOM CURTO JEANS PLUS,BERMUDA APP JEANS PS SLO INK CICLISTA BL,9392380001,3,3,both,0,0
40,BELEZA,OTHER,OTHER,PERFUME,DESODORANTE COLONIA FEMININA GIO ANTONEL,9583200000,5,4,both,-1,1
41,ELETRO-ELETRONICOS,OTHER,OTHER,TABLET WIFI ANDROID,TABLET MULTILASER MINNIE WIFI 32GB TELA,9464040000,2,2,both,0,0
42,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS CRN MSA INK JOGGER JEANS BAS,9532910003,1,0,left_only,-1,1
43,VESTUARIO,VINHO,P,SHORT DOLL,SHORT DOLL SEM MANGA JV CN PRD GARFIELD,9443550009,2,2,both,0,0
44,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CF MSA INK USED TANK BARRA D,9384530004,4,3,both,-1,1
45,ELETRO-ELETRONICOS,OTHER,OTHER,KIT FEMININO DOURADO,RELOGIO FEM LINCE DOURADO KIT COLAR BRIN,9629360000,1,1,both,0,0
46,VESTUARIO,JEANS,36,CALÇA JEANS,CALCA CM MSA INK SLIM LAVAGEM COM USED B,9440770001,1,1,both,0,0
47,VESTUARIO,AZUL,M,SHORT DOLL,SHORT DOLL MANGA CURTA JV CN EVT NAMO EL,9561230003,2,2,both,0,0
48,VESTUARIO,PRETO,GG,KIT CALCINHA,CALCINHA  C9 SLO ELLA LISO PRETO GG PRET,9657660004,1,1,both,0,0
49,BELEZA,OTHER,OTHER,DELINEADOR,DELINEADOR  WL VULT VULT DELIN OLH LIQ P,9032350000,2,3,both,1,0
50,VESTUARIO,ROSA,GG,CALCINHA / BOTTOM,3 CALCINHAS APP TRS REF 51509 K200 POA R,9524810003,2,2,both,0,0
51,VESTUARIO,PRETO,44,SOUTIEN / TOP,SOUTIEN CJ ELLA BICOLOR PRETO 44 PRETO E,9546410003,3,3,both,0,0
52,VESTUARIO,BRANCO,44,BOTTOM CURTO SARJA,BERMUDA SARJA CRN SLO INK LISO BRANCO 44,9623060001,5,4,both,-1,1
53,VESTUARIO,JEANS,48,BOTTOM CURTO JEANS PLUS,BERMUDA PS PRD COM RASGOS 02FE00603 JEAN,9633180002,2,0,left_only,-2,2
54,VESTUARIO,CINZA,34/39,MEIA CASUAL/ESPORTIVA,3 PARES MEIA CURTA ACC SLO CACHORRO   BR,9436290001,3,0,left_only,-3,3
55,VESTUARIO,ROSA,44,CALÇA JEANS,CALCA  CRN MSA INK BARRA NAVALHADA LISO,9479850004,1,1,both,0,0
56,VESTUARIO,VERMELHO,40,CALÇA SARJA,CALCA SARJA CRN PRD INK five pockets 191,9543960005,1,0,left_only,-1,1
57,VESTUARIO,VERMELHO,46,BERMUDOL/SHORT DOLL,SHORT DOLL TG MC ACORDEI VERM LUA C7 46,9598650001,1,1,both,0,0
58,BELEZA,OTHER,OTHER,MASCARA,MASCARA SELADORA JEQUITI FYO PROFISSIONA,8813370000,2,0,left_only,-2,2
59,VESTUARIO,JEANS,42,BOTTOM CURTO JEANS,BERMUDA JEANS CRN MSA INK USED BARRA DES,9573010006,3,2,both,-1,1
60,VESTUARIO,PRETO,UNICO,ÓCULOS ACETATO,OCULOS  C5 MSA MAIS ACESSORIOS FEM ACE P,9682890001,1,1,both,0,0
61,VESTUARIO,JEANS,42,BOTTOM CURTO JEANS,BERMUDA JEANS CRN MSA INK USED BARRA FEI,9573060004,1,1,both,0,0
62,VESTUARIO,JEANS,36,INTEIRO,MACACAO SEM MANGA JEANS CRN PRD INK RASG,9480830006,1,1,both,0,0
63,VESTUARIO,ROXO,M,KIT CALCINHA,2 CALCINHAS BIQUNI TG  RENDA LOLA ROXO P,9320330002,1,1,both,0,0
64,VESTUARIO,JEANS,50,BOTTOM CURTO JEANS PLUS,SHORT JEANS INK COM AMARRACAO LISO JEANS,9575840005,1,0,left_only,-1,1
65,BELEZA,OTHER,OTHER,PERFUME,DESODORANTE COLONIA MASCULINA RODRIGO FA,9692180000,2,2,both,0,0
66,VESTUARIO,MARROM,40,CALÇA SARJA,CALCA SARJA CRN MSA INK JOGGER CARGO  LI,9637460003,1,0,left_only,-1,1
67,VESTUARIO,CINZA,50,BERMUDOL/SHORT DOLL,SHORT DOLL MC TG GARFILD GAS C7 50 CINZA,9647880003,2,2,both,0,0
68,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA  JV MSA INK USED TANK ESMERIL BARR,9415800006,2,0,left_only,-2,2
69,BELEZA,OTHER,OTHER,PÓ COMPACTO ROSTO,PO COMPACTO  WL VULT VULT PO COMP 002 9g,9032040000,2,2,both,0,0
70,VESTUARIO,PRETO,G,CALCINHA / BOTTOM,3 CALCINHAS BIQ FIO MFB TRS ROSA BEGE PT,9628080001,1,1,both,0,0
71,VESTUARIO,AZUL,P,KIT CALCINHA,CALCINHA CR SLO ELLA ESTAMPADO AZUL P AZ,9707390004,1,1,both,0,0
72,VESTUARIO,VINHO,44,CALÇA SARJA,CALCA CM MSA INK SLIM VINHO EMP 5 POCKET,9440750003,4,0,left_only,-4,4
73,VESTUARIO,JEANS,44,BERMUDA JEANS,BERMUDA JEANS INK SUPER STONE LISO 35286,9525520007,1,0,left_only,-1,1
74,VESTUARIO,PRETO,UNICO,ÓCULOS ACETATO,OCULOS  C5 MAIS ACESSORIOS OCULOS FEM AC,9724100001,1,1,both,0,0
75,VESTUARIO,PRETO,M,SOUTIEN / TOP,SOUTIEN CJ PRD ELLA BASE ALONGADO LISO P,9687090002,4,4,both,0,0
76,VESTUARIO,JEANS,42,BOTTOM CURTO JEANS,SAIA CY SAW MARCA DE TERCEIROS SAIA LISO,9692420004,2,0,left_only,-2,2
77,ELETRO-ELETRONICOS,OTHER,OTHER,MOTOROLA,MOTO G22 VERDE 128GB,9588690000,3,3,both,0,0
78,VESTUARIO,JEANS,36,CALÇA JEANS,CALCA JEANS CF PRD INK USED TANK PUIDOS,9479600002,1,0,left_only,-1,1
79,VESTUARIO,CHOCOLATE,M,CALCINHA / BOTTOM,BERMUDA SUS E APP COTTON CHOCOLATE REF B,3741470002,1,1,both,0,0
80,VESTUARIO,VERMELHO,46,SOUTIEN / TOP,SOUTIEN APP PUSH UP SLO RENDA VERAO  REP,7738120004,1,0,left_only,-1,1
81,VESTUARIO,PRETO,UNICO,ÓCULOS ACETATO,OCULOS MASC ACE PRETO QUADRADO FUME VC05,9568460001,1,1,both,0,0
82,VESTUARIO,AMARELO,4,SHORT/SAIA,SHORT C8 SLO INK SHORT INFO JUVA BARRA V,9633580004,0,0,left_only,0,0
83,VESTUARIO,JEANS,38,BOTTOM CURTO JEANS,SHORT JEANS CRN PRD INK RASGOS SKY LISO,9480190002,4,1,both,-3,3
84,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697820005,1,0,left_only,-1,1
85,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CRN PRD MARCA DE TERCEIROS S,9456920002,1,0,left_only,-1,1
86,VESTUARIO,PRETO,46,BOTTOM CURTO SARJA PLUS,SHORT JEANS PS PRD INK CLOCHARD COM AMAR,9481170006,3,3,both,0,0
87,VESTUARIO,PRETO,GG,CALCINHA / BOTTOM,3 CALCINHAS APP TRS REF 51509 K228 LISTR,8845490003,1,0,left_only,-1,1
88,VESTUARIO,MARROM,44,CALÇA SARJA,CALCA CM MSA EVT MARROM EMP LCM INK MAR,9440730003,1,0,left_only,-1,1
89,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA CY SAW MARCA DE TERCEIROS WIDE LEG,9692380003,2,0,left_only,-2,2
90,VESTUARIO,ROXO,38,CALÇA JEANS,CALCA  CRN MSA INK BARRA NAVALHADA LISO,9479840001,2,1,both,-1,1
91,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS INK calca slim used bigode L,9546820007,2,0,left_only,-2,2
92,VESTUARIO,JEANS,42,CALÇA JEANS,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9663570001,2,0,left_only,-2,2
93,VESTUARIO,VERMELHO,M,CALCINHA / BOTTOM,CALCINHA APP SNS  SLO CALECON RENDA VERM,8222170002,2,1,both,-1,1
94,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA CM MSA INK LAVAGEM COM USED E DIRT,9440760004,1,1,both,0,0
95,VESTUARIO,CHOCOLATE,52,SOUTIEN / TOP,SOUTIEN APP TRS COLONIAL CETINETE RENDA,5572370003,3,2,both,-1,1
96,VESTUARIO,JEANS,36,BOTTOM  JOVEM,CALCA JEANS CRN PRD INK CALCA SKINNY USE,9566290001,1,1,both,0,0
97,VESTUARIO,AZUL,P,SHORT DOLL,SHORT DOLL MANGA CURTA JV CN EVT NAMO EL,9561230004,1,1,both,0,0
98,VESTUARIO,JEANS,40,BOTTOM  JOVEM,CALCA  CRN EVT JNS PRD INK RECORTE USED,9578470003,2,0,left_only,-2,2
99,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9663570003,1,0,left_only,-1,1
100,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS CRN MSA INK AMACIADAUSEDSTON,9578080005,2,0,left_only,-2,2
101,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA JEANS CF SLO INK USED TANK ESMERIL,9480810002,2,0,left_only,-2,2
102,VESTUARIO,VERDE,4,CALÇA,CALCA C8 EVT PAIS SLO INFO INK COM BOLSO,9275440002,1,0,left_only,-1,1
103,ELETRO-ELETRONICOS,OTHER,OTHER,FEMININO DOURADO,RELOGIO FEM CONDOR DOURADO AVULSO ANALOG,9732680000,1,1,both,0,0
104,VESTUARIO,VERDE,56,TOP PLUS,JAQUETA MANGA LONGA SARJA PS PRD INK CAP,9427870006,1,0,left_only,-1,1
105,VESTUARIO,JEANS,44,TOP,BLUSA JEANS APP EVT JEANS CRN  PRD INK M,8569960005,2,0,left_only,-2,2
106,VESTUARIO,PRETO,G,SHORT DOLL,SHORT DOLL SEM MANGA CJ ELLA LISO PRETO,9649150001,3,3,both,0,0
107,VESTUARIO,AZUL,M,KIT CALCINHA,CALCINHA CR SLO ELLA 2 PCS COTTON TRIANG,9281120003,15,8,both,-7,7
108,VESTUARIO,BEGE,G,CALCINHA / BOTTOM,3 CALCINHAS APP TRS MFB REF K51809 ONCA,8719600001,9,2,both,-7,7
109,VESTUARIO,PRETO,G,CALCINHA / BOTTOM,CALCINHA APP TRS CAVADA ABRUPT PRETO REF,7736880002,3,1,both,-2,2
110,VESTUARIO,ROSA,P,KIT CALCINHA,CALCINHA CR SLO ELLA ESTAMPADO ROSA P RO,9568840003,1,1,both,0,0
111,VESTUARIO,BRANCO,46,SOUTIEN / TOP,SOUTIEN CR ELLA BORBOLETA AVULSO LISO BR,9454170002,1,1,both,0,0
112,VESTUARIO,ROXO,52,SOUTIEN / TOP,SOUTIEN TG BASICO ROXO ERI C7 52 ROXO,7998060008,2,1,both,-1,1
113,VESTUARIO,CINZA,48,SOUTIEN / TOP,2 SOUTIENS APP AMAMENTACAO TRS REF 40205,8505660006,3,2,both,-1,1
114,VESTUARIO,ROSA,34-39,MEIA CASUAL/ESPORTIVA,MEIA SAPATILHA ACC FCX ESTAMPADO GATO RO,9459860001,16,0,left_only,-16,16
115,VESTUARIO,ROSA,M,CALCINHA / BOTTOM,BIQUINI CR SLO ELLA LISO ROSA M ROSA CLA,9671700001,2,2,both,0,0
116,VESTUARIO,AZUL,40,SOUTIEN / TOP,SOUTIEN CR PRD ELLA ALCA QUE SOBE RENDA,9334940005,1,1,both,0,0
117,VESTUARIO,DOURADO,UNICO,ÓCULOS METAL,OCULOS FEM MET DOURADO REDONDO MARROM VC,9562060001,1,1,both,0,0
118,VESTUARIO,BRANCO,GG,SHORT DOLL,SHORT DOLL MANGA CURTA CR SLO ELLA ESTAM,9653240002,3,3,both,0,0
119,VESTUARIO,ROXO,GG,KIT CALCINHA,CALC TG BAS KIT 2X1 ROXO CHOCO LIV C7 GG,8517000004,1,0,left_only,-1,1
120,VESTUARIO,JEANS,8,INTEIRO,VESTIDO SEM MANGA C8 SLO INFA INK CHAMBA,9304740002,2,0,left_only,-2,2
121,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697860003,1,0,left_only,-1,1
122,VESTUARIO,JEANS,4,CALÇA,CALCA C8 SLO INFO INK COM BOLSOS GRANDES,9397900001,1,0,left_only,-1,1
123,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA JEANS CRN MSA INK USED TANK BARRA,9384240006,2,1,both,-1,1
124,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CF MSA INK USED  LISO C21488,9479690001,1,0,left_only,-1,1
125,VESTUARIO,CINZA,34/39,MEIA CASUAL/ESPORTIVA,3 PARES MEIA SOQUETE ACC SLO FLORAL CINZ,9502310001,9,1,both,-8,8
126,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA JEANS CRN PRD INK VISTA ABOTOADA U,9412370003,4,0,left_only,-4,4
127,VESTUARIO,BRANCO,44,SOUTIEN / TOP,SOUTIEN BASE ALONGADA ESS C9 MSA BJ TRIA,9310700003,3,3,both,0,0
128,VESTUARIO,BEGE,50,SOUTIEN / TOP,SOUTIEN APP TRS BIBELO BEGE REF  061486,6917900003,4,3,both,-1,1
129,VESTUARIO,JEANS,40,BOTTOM CURTO JEANS,SHORT JEANS CRN MSA INK BARRA DESF E USe,9320800004,1,0,left_only,-1,1
130,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CF PRD INK RASGOS LISO CNBF3,9480060004,2,1,both,-1,1
131,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS CRN PRD INK EVT SUPER STONE,9561450006,1,0,left_only,-1,1
132,BELEZA,OTHER,OTHER,BATOM BASTÃO JEQUITI,JEQUITI AVIVA BATOM HIDRATANTE BORDO ELE,8687940000,2,2,both,0,0
133,VESTUARIO,MARROM,38,JAQUETA/COLETE,JAQUETA MARROM CURTA  SAW 14423 38 MARRO,9659990002,1,0,left_only,-1,1
134,VESTUARIO,JEANS,48,CALÇA JEANS,CALCA JEANS CRN MSA INK SUPER STONE   US,9486270007,1,0,left_only,-1,1
135,VESTUARIO,CINZA,UNICO,ÓCULOS METAL,OCULOS FEM MET GUN REDONDO FUME VC2428C2,9562070001,1,1,both,0,0
136,VESTUARIO,JEANS,48,CALÇA JEANS,CALCA JEANS EVT JNS CRN MSA INK JOGGER J,9532890007,1,0,left_only,-1,1
137,VESTUARIO,PRETO,44,SOUTIEN / TOP,2 SOUTIENS APP TRS BASE C  BJ SEM ARO RE,8523680002,2,2,both,0,0
138,VESTUARIO,JEANS,3,CALÇA,CALCA C8 SLO PPO INK COS DE ELASTICO COM,9435760003,1,0,left_only,-1,1
139,VESTUARIO,JEANS,46,BOTTOM CURTO JEANS,BERMUDA JEANS CRN MSA INK 12 COXA GM LIS,9622510006,4,1,both,-3,3
140,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS CRN PRD INK USED TANK RASGOS,9479710005,1,0,left_only,-1,1
141,VESTUARIO,AZUL,44,SOUTIEN / TOP,SOUTIEN CR PRD ELLA ALCA QUE SOBE RENDA,9334940007,2,2,both,0,0
142,VESTUARIO,ROSA,42,CALÇA JEANS,CALCA SARJA EVT CRN MSA INK RASGOS BARRA,9412600004,2,0,left_only,-2,2
143,VESTUARIO,CINZA,34/39,MEIA CASUAL/ESPORTIVA,3 PARES MEIA CURTA ACC FCX CORACOES  EST,9090750001,9,0,left_only,-9,9
144,VESTUARIO,JEANS,6,TOP/JAQUETA,JAQUETA MANGA LONGA INFA C8 PRD INK STON,9483720002,3,2,both,-1,1
145,VESTUARIO,PRATA,UNICO,PULSEIRA,PULSEIRA MAIS ACESSORIOS LTPP 103 UNICO,9685360001,12,0,left_only,-12,12
146,VESTUARIO,JEANS,34,CALÇA JEANS,CALCA CY SAW MARCA DE TERCEIROS MOM LISO,9692450001,1,1,both,0,0
147,VESTUARIO,PRETO,G,CAMISOLA / ROBE,CAMISOLA MANGA CURTA JV CN SLO FRIENDS E,9443630007,3,3,both,0,0
148,VESTUARIO,CHOCOLATE,52,SOUTIEN / TOP,SOUTIEN TRS OLIMPO FIRANTELA BRONZE  REF,9263050005,2,0,left_only,-2,2
149,VESTUARIO,MARROM,UNICO,ÓCULOS METAL,OCULOS  C5 MSA MAIS ACESSORIOS MET UNI M,9683520001,1,1,both,0,0
150,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CF MSA INK USED E TANK LISO,9479660002,3,1,both,-2,2
151,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS EVT JNS CRN MSA INK JOGGER J,9532900004,2,0,left_only,-2,2
152,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS CRN SLO INK USED TANK RASGOS,9480770005,2,0,left_only,-2,2
153,VESTUARIO,ROSA,GG,KIT CALCINHA,CALCINHA CJ SLO ELLA HANK PANK LISO ROSA,9644120007,2,1,both,-1,1
154,VESTUARIO,JEANS,54,BOTTOM CURTO JEANS PLUS,BERMUDA PS PRD COM RASGOS 02FE00603 JEAN,9633180006,1,0,left_only,-1,1
155,VESTUARIO,BRANCO,48,SOUTIEN / TOP,SOUTIEN TG P1 RENDA BCA ADA 48 BRANCO CL,9458340002,4,1,both,-3,3
156,VESTUARIO,JEANS,56,BOTTOM CURTO JEANS PLUS,BERMUDA JEANS PS PRD INK MALHA DENIN AMA,9481210005,2,0,left_only,-2,2
157,VESTUARIO,DOURADO,CURTO,BRINCO,BRINCO DOURADO EARCUFF DBR06691 CURTO DO,9541600001,4,0,left_only,-4,4
158,BELEZA,OTHER,OTHER,LAPIS,LAPIS  WL VULT VULT LAP SOBRANC 002 12g,9032460000,2,2,both,0,0
159,VESTUARIO,MARROM,52,SOUTIEN / TOP,SOUTIEN TRS OLIMPO FIRANTELA BRONZE  REF,9263050002,2,0,left_only,-2,2
160,VESTUARIO,JEANS,42,CALÇA JEANS,CALCA JEANS CRN MSA INK MARMORIZADO LISO,9588590004,1,0,left_only,-1,1
161,VESTUARIO,CHOCOLATE,46,SOUTIEN / TOP,SOUTIEN BASE ALONGADA ESS C9 MSA BJ TRIA,9310720002,1,0,left_only,-1,1
162,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS CRN MSA INK FIVE POCKETS USE,9384130006,1,1,both,0,0
163,VESTUARIO,CINZA,GG,SHORT DOLL,SHORT DOLL MANGA CURTA JV CN SLO DISNEY,9564070002,4,4,both,0,0
164,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA CM MSA INK LAVAGEM COM STONE E USE,9440400001,1,0,left_only,-1,1
165,VESTUARIO,BRANCO,40,SOUTIEN / TOP,SOUTIEN CR ELLA BORBOLETA AVULSO LISO BR,9454170001,1,1,both,0,0
166,VESTUARIO,AZUL,46,CAMISOLA / ROBE,CAMISOLA FRAUDADA HAPPY AZUL JIN C7 46 A,9623100004,1,1,both,0,0
167,VESTUARIO,PRETO,G,KIT CALCINHA,CALCINHA CJ ELLA BRANCO E PRETO LISO G P,9339230001,3,3,both,0,0
168,VESTUARIO,JEANS,34,BOTTOM CURTO JEANS,SHORT JEANS JV MSA INK BARRA CHUVEIRINHO,9167460001,2,1,both,-1,1
169,VESTUARIO,PRETO,36,CALÇA SARJA,CALCA SARJA JV PRD INK ELASTICO COS PUNH,9420090006,1,1,both,0,0
170,VESTUARIO,BEGE,40,BERMUDA SARJA,BERMUDA JEANS EVT PAIS CRN PRD INK CATIO,9578810005,1,0,left_only,-1,1
171,VESTUARIO,JEANS,34,BOTTOM CURTO JEANS,SHORT JEANS CRN SLO INK BASICO AMACIADO,9384030001,2,0,left_only,-2,2
172,VESTUARIO,JEANS,36,INTEIRO,VESTIDO SEM MANGA JEANS CF PRD INK LONGO,9594270007,1,1,both,0,0
173,VESTUARIO,AZUL,6,SHORT/SAIA,SHORT C8 PRD INFA  INK BOLSO CARPINTEIRO,9483620002,2,0,left_only,-2,2
174,VESTUARIO,CINZA,G,KIT CALCINHA,CALCINHA C7 ELLA ESTAMPADO CINZA G CINZA,9458240001,2,2,both,0,0
175,BELEZA,OTHER,OTHER,PRODUTOS PARA CORPO,ESTOJO ACQUA FOR MEN FRANCE SILVER,9692470000,3,3,both,0,0
176,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA CM MSA INK SLIM LAVAGEM COM USED B,9440920006,1,0,left_only,-1,1
177,VESTUARIO,AZUL,M,CALCINHA / BOTTOM,3 CALCINHAS APP TRS  REF 51509 K233 ETAM,8566590002,2,2,both,0,0
178,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CRN MSA INK RASGOS BARRA VIR,9427190002,2,2,both,0,0
179,ELETRO-ELETRONICOS,OTHER,OTHER,KIT FEMININO PRATA,RELOGIO FEM MONDAIEN PRATA E DOURADO KIT,9714850000,1,1,both,0,0
180,VESTUARIO,JEANS,40,CALÇA JEANS,CALCA JEANS CRN MSA INK FIVE POCKETS USE,9384140003,2,0,left_only,-2,2
181,ELETRO-ELETRONICOS,OTHER,OTHER,SAMSUNG,SAMS GALAXY M13 VERDE 128GB SM M135MZGGZ,9697140000,2,2,both,0,0
182,VESTUARIO,VERDE,46,SOUTIEN / TOP,SOUTIEN BASE ALONGADA CR MSA  RENDA RUST,9669530003,1,1,both,0,0
183,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CRN PRD MARCA DE TERCEIROS C,9477670004,2,0,left_only,-2,2
